0.000000	1.000000	
0.100000	1.105167	
0.200000	1.221393	
0.300000	1.349843	
0.400000	1.491802	
0.500000	1.648690	
0.600000	1.822077	
0.700000	2.013698	
0.800000	2.225472	
0.900000	2.459518	
1.000000	2.718177	
1.100000	3.004039	
1.200000	3.319964	
1.300000	3.669113	
1.400000	4.054982	
1.500000	4.481430	
1.600000	4.952728	
1.700000	5.473589	
1.800000	6.049229	
1.900000	6.685406	
2.000000	7.388488	
2.100000	8.165510	
2.200000	9.024250	
2.300000	9.973300	
2.400000	11.022159	
2.500000	12.181322	
2.600000	13.462391	
2.700000	14.878186	
2.800000	16.442876	
2.900000	18.172118	
3.000000	20.083219	
3.100000	22.195304	
3.200000	24.529510	
3.300000	27.109197	
3.400000	29.960181	
3.500000	33.110994	
3.600000	36.593166	
3.700000	40.441548	
3.800000	44.694651	
3.900000	49.395038	
4.000000	54.589749	
